id,input_file,source_file,answer_type,selected_metric,metric_family,gold_field,predicted_field,gold_value,predicted_value,absolute_error,relative_error,strict_tolerance,relaxed_tolerance,within_strict_tolerance,within_relaxed_tolerance,exact_match,contains_gold_text,rowset_f1,prompt_tokens,completion_tokens,total_tokens,question,rag_answer
raster_only:aspect+poi:17,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5947,"What compass bearing does the hillside at Harrison Park and Golf Course, Danville, IL face?",The retrieved records do not provide enough evidence for the requested location.
raster_only:aspect+poi:18,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,3130,"What compass bearing does the hillside at Chicago Portage National Historic Site, Lyons, IL face?",The provided records do not contain sufficient information to determine the compass bearing of the hillside.
raster_only:aspect+poi:19,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5702,"What is the aspect of the slope at Sondek Park, Monmouth Junction, NJ?",The retrieved records do not provide enough evidence to determine the aspect of the slope at Sondek Park.
raster_only:avg_slope+area:0,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6031,"How steep is Hebron Estates, Kentucky on average?","The retrieved DEM records do not provide coverage for Hebron Estates, Kentucky."
raster_only:avg_slope+area:1,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6309,"What is the avg slope value within Gallatin, Texas?","The provided records do not contain information about the average slope value within Gallatin, Texas."
raster_only:avg_slope+area:2,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,4064,"What is the typical slope across LaGrange, Indiana?","The retrieved records do not provide information about the typical slope across LaGrange, Indiana."
raster_only:avg_slope+area:3,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6006,"What is the average slope in Angleton, Texas?","I am sorry, but I cannot provide the average slope in Angleton, Texas, as the retrieved records do not contain this information."
raster_only:avg_slope+area:4,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5090,"In Lumpkin, Georgia, what is the mean slope?","The mean slope for Lumpkin, Georgia is not available in the provided records."
raster_only:avg_slope+area:5,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6589,"How steep is Larksville, Pennsylvania on average?","The retrieved records do not provide enough information to determine the average steepness of Larksville, Pennsylvania."
raster_only:avg_slope+area:6,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5213,"How steep is Wiggins, Colorado on average?","The retrieved records do not provide information about the average steepness of Wiggins, Colorado."
raster_only:avg_slope+area:7,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2643,"What is the avg slope value within West Creek Township, Lake County, Indiana?","The average slope value for West Creek Township, Lake County, Indiana is not available in the provided records."
raster_only:avg_slope+area:8,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6029,"What is the typical slope across Blackville, South Carolina?","The retrieved records do not provide enough information to determine the typical slope across Blackville, South Carolina."
raster_only:avg_slope+area:9,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6493,"What is the average slope in Goldsboro, Maryland?","The retrieved records do not provide the average slope for Goldsboro, Maryland."
raster_only:avg_slope+area:10,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5889,"What is the avg slope value within Hordville, Nebraska?","The records do not provide the average slope value for Hordville, Nebraska."
raster_only:avg_slope+area:11,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,3595,"In Tower Grove South, St. Louis, what is the mean slope?",The provided records do not contain information about the mean slope.
raster_only:avg_slope+area:12,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6058,"What is the avg slope value within Montgomery Township, Franklin County, Pennsylvania?","I cannot provide the average slope value within Montgomery Township, Franklin County, Pennsylvania, as the retrieved records do not contain slope information for this region. The provided raster data contains elevation values, not slope."
raster_only:avg_slope+area:13,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,4447,"In Springfield, New York, what is the mean slope?",The provided records do not contain information about the mean slope.
raster_only:avg_slope+area:14,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5162,"What is the average slope in Robert Lee, Texas?","I cannot provide the average slope in Robert Lee, Texas, as the retrieved records do not contain this information for the specified location."
raster_only:avg_slope+area:15,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6348,"What is the average slope in Baraga, Michigan?","The retrieved records do not provide the average slope in Baraga, Michigan."
raster_only:avg_slope+area:16,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6261,"What is the typical slope across Liberty, South Carolina?","The retrieved records do not provide information about the typical slope across Liberty, South Carolina."
raster_only:avg_slope+area:17,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6175,How steep is New Brunswick on average?,I cannot provide the average steepness of New Brunswick as the retrieved records do not contain this information.
raster_only:avg_slope+area:18,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5755,"What is the average slope in Dyer, Tennessee?","The retrieved records do not provide the average slope for Dyer, Tennessee."
raster_only:avg_slope+area:19,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,avg_slope+area.jsonl,slope,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,7190,"How steep is Tifton, Georgia on average?","The retrieved records do not provide elevation data for Tifton, Georgia. Therefore, the average steepness cannot be determined."
raster_only:elevation+coverage:0,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,7298,"Within Dayville, Oregon, what share of the area has elevation at or above 80 meters?","The retrieved DEM records do not provide coverage for Dayville, Oregon."
raster_only:elevation+coverage:1,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6489,"Within West Yellowstone, Montana, what share of the area has elevation at or above 280 meters?",The retrieved raster records do not provide enough evidence for the requested location.
raster_only:elevation+coverage:2,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6590,"In Armstrong, Iowa, what percentage of the area is at or above 60 m in elevation?","The retrieved records do not provide enough elevation data for Armstrong, Iowa to answer this question."
raster_only:elevation+coverage:3,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5043,"In Sumrall, Mississippi, what percentage of the area is at or above 460 m in elevation?",The retrieved records do not provide enough evidence for the requested operation.
raster_only:elevation+coverage:4,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,7253,"What percentage of the region Red Springs, Wisconsin is at or above 280 m elevation?","The retrieved raster records do not provide elevation data for the region Red Springs, Wisconsin. Therefore, the percentage of the region at or above two hundred eighty metres elevation cannot be determined."
raster_only:elevation+coverage:5,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6927,"In Flat Rock, Michigan, what percentage of the area is at or above 120 m in elevation?","The retrieved raster data does not cover the specified region of Flat Rock, Michigan. Therefore, it is not possible to determine the percentage of the area at or above one hundred twenty metres in elevation."
raster_only:elevation+coverage:6,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6424,"What percentage of the region Weston, Wisconsin is at or above 460 m elevation?","The retrieved records do not provide enough evidence to determine the percentage of the region Weston, Wisconsin that is at or above four hundred sixty metres elevation."
raster_only:elevation+coverage:7,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,4642,"What percent of Caddo County, Oklahoma has elevation of at least 240 meters?","The retrieved records do not provide enough evidence to determine the percentage of Caddo County, Oklahoma that has an elevation of at least two hundred forty meters."
raster_only:elevation+coverage:8,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,7264,"What percent of Dunwoody, Georgia has elevation of at least 340 meters?","The retrieved DEM patches do not provide elevation data for Dunwoody, Georgia. Therefore, it is not possible to determine what percent of Dunwoody, Georgia has an elevation of at least three hundred forty meters."
raster_only:elevation+coverage:9,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6210,"What percentage of the region Boles Acres, New Mexico is at or above 300 m elevation?","The retrieved records do not provide elevation data for the region Boles Acres, New Mexico."
raster_only:elevation+coverage:10,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6929,"Within Chemung, New York, what share of the area has elevation at or above 300 meters?",The retrieved raster records do not provide enough evidence for the requested location.
raster_only:elevation+coverage:11,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6867,"What percent of Alpha, New Jersey has elevation of at least 340 meters?","The retrieved DEM GeoTIFF records do not provide coverage for Alpha, New Jersey."
raster_only:elevation+coverage:12,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6187,"Within Ellington, Missouri, what share of the area has elevation at or above 160 meters?","The retrieved records do not provide elevation data for Ellington, Missouri."
raster_only:elevation+coverage:13,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6216,"What percent of Beverly Hills, California has elevation of at least 60 meters?",The retrieved records do not provide enough evidence for the requested location.
raster_only:elevation+coverage:14,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5751,"Within Mackenzie, Missouri, what share of the area has elevation at or above 320 meters?","The retrieved DEM records do not provide elevation data for Mackenzie, Missouri."
raster_only:elevation+coverage:15,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6798,"In Herkimer, New York, what percentage of the area is at or above 20 m in elevation?","The retrieved records do not provide enough evidence to determine the percentage of the area in Herkimer, New York, that is at or above twenty metres in elevation. The available DEM data does not fully cover the specified region, and the metadata does not allow for calculating the percentage of area above a specific elevation threshold."
raster_only:elevation+coverage:16,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,4796,"Within Abita Springs, Louisiana, what share of the area has elevation at or above 260 meters?","The retrieved records do not provide elevation data for Abita Springs, Louisiana."
raster_only:elevation+coverage:17,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6749,"In Tuscarawas, Ohio, what percentage of the area is at or above 220 m in elevation?","The retrieved records do not provide enough evidence to determine the percentage of the area at or above two hundred twenty metres in elevation in Tuscarawas, Ohio."
raster_only:elevation+coverage:18,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6248,"In Terrell County, Georgia, what percentage of the area is at or above 40 m in elevation?","The retrieved records do not provide enough evidence to determine the percentage of the area in Terrell County, Georgia, that is at or above forty metres in elevation. The available elevation data does not cover this region."
raster_only:elevation+coverage:19,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+coverage.jsonl,percent,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6403,"What percentage of the region Clifton Heights, Pennsylvania is at or above 40 m elevation?","The retrieved records do not provide elevation data for the region Clifton Heights, Pennsylvania."
raster_only:elevation+poi:0,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2785,"What is the elevation at Cousins Subs, Chicago, IL?",The specific elevation at that point is not available. The elevation in the area ranges from sixty-nine metres to three hundred forty metres.
raster_only:elevation+poi:1,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2663,"What is the elevation where Olive Branch, West Seneca, NY is located?",The retrieved records do not provide elevation data for this location.
raster_only:elevation+poi:2,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2937,"What is the elevation at Aroma, Burlingame, CA?",The retrieved DEM records do not provide elevation data for this location.
raster_only:elevation+poi:3,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6254,"What is the elevation where Ducks Unlimited National Headquarters, Memphis, TN is located?",The retrieved DEM GeoTIFF records do not provide elevation data for this location.
raster_only:elevation+poi:4,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,3418,"What is the elevation of the ground at Clinica Hispana Rubymed - Katy, Katy, TX?",The retrieved raster records do not provide elevation data for this location.
raster_only:elevation+poi:5,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6299,"What is the elevation at Bardstown Country Club, Bardstown, KY?",The retrieved records do not provide elevation data for this location.
raster_only:elevation+poi:6,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5859,"What is the elevation at Great Chebeague Golf Club, Chebeague Island, ME?",The retrieved raster records do not provide coverage for this location.
raster_only:elevation+poi:7,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5932,"How high is the terrain at Claremont Lincoln University, Claremont, CA?",The retrieved records do not provide enough evidence for the requested location.
raster_only:elevation+poi:8,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5063,"What is the elevation where Go Ape Treetop Adventure Course, Strongsville, OH is located?",The retrieved raster records do not provide elevation data for this location.
raster_only:elevation+poi:9,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5918,"What is the elevation where Midwest Orthopedic Specialty Hospital, Franklin, WI is located?",The retrieved records do not provide elevation data for this location.
raster_only:elevation+poi:10,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5834,"What is the elevation of the ground at Amazing Air, San Antonio, TX?",The retrieved raster records do not provide elevation data for this location.
raster_only:elevation+poi:11,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,5885,"What is the elevation at the location of Timp Hospital Greenspace, Orem, UT?",The retrieved records do not provide elevation data for this location.
raster_only:elevation+poi:12,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2817,"How high is The Suminski Innski, Tivoli, NY above sea level?",The specific height above sea level for The Suminski Innski is not available in the provided records.
raster_only:elevation+poi:13,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,3298,"What is the elevation where In the Game - Hollywood Park, Crestwood, IL is located?",The retrieved records do not provide the specific elevation at that location.
raster_only:elevation+poi:14,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,3621,"What is the elevation where Cal, Sr.'s Yard, Aberdeen, MD is located?",The retrieved records do not provide enough evidence for the requested elevation.
raster_only:elevation+poi:15,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6159,"What is the elevation at Balls Creek Campground, Catawba, NC?",The retrieved DEM GeoTIFF records do not provide elevation data for this location.
raster_only:elevation+poi:16,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,8077,"What is the elevation where Cedar River Golf Course, Indian Lake, NY is located?",The retrieved patches do not provide enough evidence for the elevation at this specific location.
raster_only:elevation+poi:17,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2539,"How high is Viewpoint | Photographic Art Center, Sacramento, CA above sea level?",The retrieved DEM GeoTIFF records do not provide coverage for the specified location.
raster_only:elevation+poi:18,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,2432,"How high is the terrain at Chestatee Overlook, Dahlonega, GA?",The retrieved raster records do not provide enough evidence for the requested location.
raster_only:elevation+poi:19,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation+poi.jsonl,elevation - point based,primary_numeric_tolerance,rowset,,,,,,,,,,,,,0.0,,,6150,"What is the elevation of the ground at Dyken Pond Environmental Education Center, Cropseyville, NY?",The retrieved raster records do not provide elevation data for this location.
raster_only:elevation_compare+two_pois:0,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation_compare+two_pois.jsonl,name,primary_text_exact,primary_text,higher_poi,higher_poi,"Diamond Mill OHV Staging Area, OR",The retrieved records do not provide enough evidence to determine the elevation for either location.,,,,,,,False,False,,,,6781,"Of the two, AAAS / Science, Washington, DC and Diamond Mill OHV Staging Area, OR, which lies at a greater elevation?",The retrieved records do not provide enough evidence to determine the elevation for either location.
raster_only:elevation_compare+two_pois:1,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,elevation_compare+two_pois.jsonl,name,primary_text_exact,primary_text,higher_poi,higher_poi,"Sushi Nakazawa, Washington, DC",There is not enough information to determine which restaurant sits at a greater elevation. The retrieved records do not provide specific elevation values for either location.,,,,,,,False,False,,,,3400,"Of Sushi Nakazawa, Washington, DC and Blue Hill, New York, NY, which sits at a greater elevation?",There is not enough information to determine which restaurant sits at a greater elevation. The retrieved records do not provide specific elevation values for either location.
